fold,epoch,train_loss,mape,rmse,metric
1,39,1500218.3803420519,7.61699452996254,1224.834,Train_Gpu_Memory_Mb
1,40,1550779.3279890078,7.527254521846771,1245.3029,Train_Gpu_Memory_Mb
1,41,1633116.3652008167,7.719337195158005,1277.9344,Train_Gpu_Memory_Mb
1,42,1466570.198661777,7.6039426028728485,1211.0203,Train_Gpu_Memory_Mb
1,43,1505613.4029706838,7.416214048862457,1227.0344,Train_Gpu_Memory_Mb
1,44,1442943.2569937771,7.419230043888092,1201.2257,Train_Gpu_Memory_Mb
1,45,1499761.0184430568,7.359820604324341,1224.6473,Train_Gpu_Memory_Mb
1,46,1472852.533538426,7.383706420660019,1213.6115,Train_Gpu_Memory_Mb
1,47,1456561.7760988933,7.414311915636063,1206.881,Train_Gpu_Memory_Mb
1,48,1443217.131033338,7.412728667259216,1201.3397,Train_Gpu_Memory_Mb
1,49,1400484.8163918566,7.331099361181259,1183.4208,Train_Gpu_Memory_Mb
1,50,1487959.2759061714,7.348720729351044,1219.8193,Train_Gpu_Memory_Mb
1,51,1471022.6554705987,7.373954355716705,1212.8572,Train_Gpu_Memory_Mb
1,52,1455855.8049680733,7.266514748334885,1206.5885,Train_Gpu_Memory_Mb
1,53,1465741.206704185,7.320084422826767,1210.678,Train_Gpu_Memory_Mb
1,54,1471130.8729996453,7.334119081497192,1212.9019,Train_Gpu_Memory_Mb
1,55,1432371.1991289034,7.265530526638031,1196.8171,Train_Gpu_Memory_Mb
1,56,1383737.6122664555,7.0818789303302765,1176.3237,Train_Gpu_Memory_Mb
1,57,1389919.957943038,7.061038166284561,1178.9487,Train_Gpu_Memory_Mb
1,58,1480363.6844473686,7.251063734292984,1216.702,Train_Gpu_Memory_Mb
1,59,1370154.8033690818,7.056150585412979,1170.5361,Train_Gpu_Memory_Mb
1,60,1417409.5266633907,7.10860937833786,1190.55,Train_Gpu_Memory_Mb
1,61,1450920.9099632762,7.189547270536423,1204.5417,Train_Gpu_Memory_Mb
1,62,1332278.1377357924,6.956492364406586,1154.2435,Train_Gpu_Memory_Mb
1,63,1355216.592466509,7.06477016210556,1164.1377,Train_Gpu_Memory_Mb
1,64,1357014.2874104762,6.950052827596664,1164.9095,Train_Gpu_Memory_Mb
1,65,1309204.9193758895,6.905829161405563,1144.205,Train_Gpu_Memory_Mb
1,66,1425323.0555243136,7.110391557216644,1193.869,Train_Gpu_Memory_Mb
1,67,1362938.498640108,6.858525425195694,1167.4496,Train_Gpu_Memory_Mb
1,68,1425728.537616537,6.997678428888321,1194.0388,Train_Gpu_Memory_Mb
1,69,1355437.3190864215,6.9092437624931335,1164.2324,Train_Gpu_Memory_Mb
1,70,1421500.6018562105,7.117218524217606,1192.267,Train_Gpu_Memory_Mb
1,71,1361825.5557095816,6.887762248516083,1166.9728,Train_Gpu_Memory_Mb
1,72,1416544.070512159,6.941104680299759,1190.1866,Train_Gpu_Memory_Mb
1,73,1375973.672224707,6.879311800003052,1173.019,Train_Gpu_Memory_Mb
1,74,1315499.747820121,6.926719844341278,1146.9524,Train_Gpu_Memory_Mb
1,75,1443303.2693801527,6.948481500148773,1201.3756,Train_Gpu_Memory_Mb
1,76,1298141.633526986,6.6862501204013824,1139.3602,Train_Gpu_Memory_Mb
1,77,1392180.7855739133,6.890691816806793,1179.9071,Train_Gpu_Memory_Mb
1,78,1377617.0529096646,6.989030539989471,1173.7194,Train_Gpu_Memory_Mb
1,79,1313524.6902729368,6.803213059902191,1146.0911,Train_Gpu_Memory_Mb
1,80,1331872.0474818095,6.8934619426727295,1154.0676,Train_Gpu_Memory_Mb
1,81,1302147.3313032854,6.694416701793671,1141.1167,Train_Gpu_Memory_Mb
1,82,1386227.2395721858,6.997997313737869,1177.3815,Train_Gpu_Memory_Mb
1,83,1307681.3894878703,6.865226477384567,1143.539,Train_Gpu_Memory_Mb
1,84,1401324.5242479376,6.835611909627914,1183.7756,Train_Gpu_Memory_Mb
1,85,1308749.016906489,6.69456273317337,1144.0057,Train_Gpu_Memory_Mb
1,86,1325722.865552904,6.7877426743507385,1151.4004,Train_Gpu_Memory_Mb
1,87,1361668.4232624378,6.6923633217811584,1166.9055,Train_Gpu_Memory_Mb
1,88,1332089.7589319453,6.645960360765457,1154.1619,Train_Gpu_Memory_Mb
1,89,1305760.360765412,6.540624052286148,1142.6987,Train_Gpu_Memory_Mb
1,90,1317954.888912311,6.673673540353775,1148.0222,Train_Gpu_Memory_Mb
1,91,1290147.3487818185,6.553125381469727,1135.8464,Train_Gpu_Memory_Mb
1,92,1298348.7496186914,6.700119376182556,1139.451,Train_Gpu_Memory_Mb
1,93,1318191.8289809984,6.783797591924667,1148.1254,Train_Gpu_Memory_Mb
1,94,1286900.4056100182,6.664892286062241,1134.4163,Train_Gpu_Memory_Mb
1,95,1274885.4571309933,6.696552038192749,1129.1083,Train_Gpu_Memory_Mb
1,96,1271472.5916020235,6.5376609563827515,1127.596,Train_Gpu_Memory_Mb
1,97,1317830.5750526711,6.675589829683304,1147.968,Train_Gpu_Memory_Mb
1,98,1323608.2891890074,6.641595810651779,1150.4817,Train_Gpu_Memory_Mb
1,99,1315217.7389604133,6.719677150249481,1146.8295,Train_Gpu_Memory_Mb
1,100,1278476.2148859494,6.704811751842499,1130.6973,Train_Gpu_Memory_Mb
2,1,30155311.38177078,35.945555567741394,5491.3853,Train_Gpu_Memory_Mb
