fold,epoch,train_loss,mape,rmse,metric
1,1,12600.841741825896,37.51247525215149,112.25347,Train_Step_Time
1,2,5254.841817262671,25.680285692214966,72.49029,Train_Step_Time
1,3,3738.7340948095557,22.86568135023117,61.145187,Train_Step_Time
1,4,3286.3652180684603,21.3424414396286,57.326828,Train_Step_Time
1,5,2882.0418927524843,19.832125306129456,53.684654,Train_Step_Time
1,6,2682.6873343824445,19.180478155612946,51.794666,Train_Step_Time
1,7,2556.666906963113,18.00815612077713,50.563496,Train_Step_Time
1,8,2242.9709418476614,16.89327359199524,47.360016,Train_Step_Time
1,9,2510.53558080589,16.675353050231934,50.105247,Train_Step_Time
1,10,2113.0966481682904,16.22122824192047,45.96843,Train_Step_Time
1,11,1897.9943273042284,15.313327312469482,43.565975,Train_Step_Time
1,12,1962.0030081728828,15.748006105422974,44.294502,Train_Step_Time
1,13,1778.1120936631373,15.255819261074066,42.167664,Train_Step_Time
1,14,1714.5197269098717,14.573036134243011,41.406757,Train_Step_Time
1,15,1674.9888030410327,14.456865191459656,40.92663,Train_Step_Time
1,16,1764.5171540877839,13.838452100753784,42.006157,Train_Step_Time
1,17,1656.8320786130025,14.408114552497864,40.7042,Train_Step_Time
1,18,1528.1645110652278,14.17885422706604,39.091743,Train_Step_Time
1,19,1570.5076375357794,14.092640578746796,39.62963,Train_Step_Time
1,20,1537.4714558054745,13.555188477039337,39.210606,Train_Step_Time
1,21,1334.1756409645566,13.551552593708038,36.526367,Train_Step_Time
1,22,2015.2084895222142,14.009791612625122,44.891075,Train_Step_Time
1,23,1318.5896042602258,13.638351857662201,36.31239,Train_Step_Time
1,24,1428.377699648548,13.66875171661377,37.793884,Train_Step_Time
1,25,1616.8728962765092,13.516457378864288,40.210358,Train_Step_Time
1,26,1401.2782839219574,13.257762789726257,37.43365,Train_Step_Time
1,27,1349.5613710227547,12.472328543663025,36.736378,Train_Step_Time
1,28,1338.5460728769763,13.456924259662628,36.586143,Train_Step_Time
1,29,1436.2192539281568,12.9850834608078,37.897484,Train_Step_Time
1,30,1289.280023768305,12.532995641231537,35.906548,Train_Step_Time
1,31,1183.4966827129388,11.98829710483551,34.401985,Train_Step_Time
1,32,1280.6526348184498,12.626489996910095,35.78621,Train_Step_Time
1,33,1221.9369798706466,12.140508741140366,34.956215,Train_Step_Time
1,34,1206.9600846131034,11.788995563983917,34.74133,Train_Step_Time
1,35,1151.572645828578,11.823626607656479,33.93483,Train_Step_Time
1,36,1258.0853738386902,11.914413422346115,35.469498,Train_Step_Time
1,37,1329.710366403476,13.054654002189636,36.465195,Train_Step_Time
1,38,1151.1279667938445,12.570364773273468,33.928276,Train_Step_Time
1,39,1287.5526070737706,12.40193247795105,35.882484,Train_Step_Time
1,40,1186.0170448473018,11.88904345035553,34.4386,Train_Step_Time
1,41,1296.4171532795167,12.197881191968918,36.005795,Train_Step_Time
1,42,1029.785032863223,11.714118719100952,32.090263,Train_Step_Time
1,43,1092.3917347254198,12.218369543552399,33.05135,Train_Step_Time
1,44,1198.6698986411548,11.779557913541794,34.62181,Train_Step_Time
1,45,1062.4175331360277,11.64611130952835,32.594746,Train_Step_Time
1,46,1045.271017607959,11.639748513698578,32.33065,Train_Step_Time
1,47,1113.2238916242266,11.687737703323364,33.36501,Train_Step_Time
1,48,1093.1888130184584,11.569444090127945,33.063408,Train_Step_Time
1,49,1043.613190395875,12.104018777608871,32.305,Train_Step_Time
1,50,950.4771883559197,11.696919053792953,30.82981,Train_Step_Time
1,51,945.9213004215056,11.322330683469772,30.755835,Train_Step_Time
1,52,1032.5936897939769,12.102582305669785,32.133995,Train_Step_Time
1,53,1137.3906572919982,12.115518748760223,33.725224,Train_Step_Time
1,54,1031.5678804609424,12.210670858621597,32.11803,Train_Step_Time
1,55,964.9835025294112,12.095175683498383,31.064182,Train_Step_Time
1,56,994.9182987840593,11.58820241689682,31.542326,Train_Step_Time
1,57,861.4718966377383,11.220607161521912,29.350842,Train_Step_Time
1,58,907.4624286648857,11.591397225856781,30.124115,Train_Step_Time
1,59,1048.06691750849,12.020077556371689,32.37386,Train_Step_Time
1,60,893.9594722102449,11.94446086883545,29.899157,Train_Step_Time
1,61,881.65917391973,11.731923371553421,29.692745,Train_Step_Time
1,62,978.7792121588936,11.883135885000229,31.285446,Train_Step_Time
1,63,854.8467966730685,11.274007707834244,29.237762,Train_Step_Time
1,64,906.9360501416743,11.250441521406174,30.11538,Train_Step_Time
1,65,888.8023052568673,11.113423854112625,29.812786,Train_Step_Time
1,66,856.8644746742106,11.172869056463242,29.272247,Train_Step_Time
1,67,802.7917477814427,11.064384877681732,28.33358,Train_Step_Time
1,68,983.9767584664199,11.723608523607254,31.368402,Train_Step_Time
1,69,864.0669352853175,11.119699478149414,29.395016,Train_Step_Time
1,70,842.8678143224669,10.953553020954132,29.032185,Train_Step_Time
1,71,878.544623228243,10.849233716726303,29.640255,Train_Step_Time
1,72,784.9673990604487,10.871788114309311,28.01727,Train_Step_Time
1,73,797.0610220865992,11.200282722711563,28.23227,Train_Step_Time
1,74,860.8970359684037,10.604796558618546,29.341047,Train_Step_Time
1,75,749.2391545829686,10.788024961948395,27.372234,Train_Step_Time
1,76,854.3297776417496,10.085801780223846,29.22892,Train_Step_Time
1,77,893.3345047058897,10.809272527694702,29.888702,Train_Step_Time
1,78,772.5562089900388,10.848693549633026,27.794895,Train_Step_Time
1,79,786.1518498302282,10.566885024309158,28.038399,Train_Step_Time
1,80,706.4531219518767,10.614264756441116,26.579185,Train_Step_Time
