fold,epoch,train_loss,mape,rmse,metric
1,1,10344.742463342684,27.101796865463257,101.70911,Train_Gpu_Power_W
1,2,2798.4267511123317,14.830569922924042,52.900158,Train_Gpu_Power_W
1,3,1675.4755976776369,11.549803614616394,40.932575,Train_Gpu_Power_W
1,4,1265.891682111099,10.017456114292145,35.57937,Train_Gpu_Power_W
1,5,1091.7815036946756,9.312842041254044,33.042118,Train_Gpu_Power_W
1,6,886.9519731297992,8.483754843473434,29.781738,Train_Gpu_Power_W
1,7,815.4179699348624,8.312441408634186,28.555525,Train_Gpu_Power_W
1,8,804.8596493101836,8.10806155204773,28.370049,Train_Gpu_Power_W
1,9,769.7096451610652,7.909819483757019,27.74364,Train_Gpu_Power_W
1,10,676.0135239761113,7.644497603178024,26.00026,Train_Gpu_Power_W
1,11,707.3862662302529,7.5966328382492065,26.596735,Train_Gpu_Power_W
1,12,644.5361378532543,7.3875851929187775,25.387716,Train_Gpu_Power_W
1,13,726.3572953368002,7.759054750204086,26.951017,Train_Gpu_Power_W
1,14,610.6111262861187,7.218270003795624,24.710546,Train_Gpu_Power_W
1,15,591.0434210888405,7.107092440128326,24.311384,Train_Gpu_Power_W
1,16,575.5545418164445,7.051461935043335,23.990719,Train_Gpu_Power_W
1,17,559.2052071941542,6.950560212135315,23.647522,Train_Gpu_Power_W
1,18,581.068644338543,6.928233057260513,24.105364,Train_Gpu_Power_W
1,19,563.8633476181584,6.9367848336696625,23.745808,Train_Gpu_Power_W
1,20,555.8498965180685,6.872660666704178,23.576468,Train_Gpu_Power_W
1,21,521.7503274771898,6.727816164493561,22.841854,Train_Gpu_Power_W
1,22,526.1044329597372,6.68269544839859,22.936966,Train_Gpu_Power_W
1,23,543.368466238811,6.790262460708618,23.310265,Train_Gpu_Power_W
1,24,525.5347095612221,6.602706760168076,22.924543,Train_Gpu_Power_W
1,25,492.3601844659463,6.56156986951828,22.18919,Train_Gpu_Power_W
1,26,504.0884008185288,6.498542428016663,22.451914,Train_Gpu_Power_W
1,27,507.6092570004131,6.57544881105423,22.530184,Train_Gpu_Power_W
1,28,506.11237110303034,6.539736688137054,22.49694,Train_Gpu_Power_W
1,29,502.46143342592995,6.495586037635803,22.415651,Train_Gpu_Power_W
1,30,470.3714372472063,6.407648324966431,21.688047,Train_Gpu_Power_W
1,31,477.0196274959492,6.294996291399002,21.84078,Train_Gpu_Power_W
1,32,473.79038790003926,6.3484519720077515,21.766726,Train_Gpu_Power_W
1,33,455.05554519426664,6.2395356595516205,21.332031,Train_Gpu_Power_W
1,34,470.88278931013883,6.308797001838684,21.699835,Train_Gpu_Power_W
1,35,477.0877175706175,6.29444494843483,21.842339,Train_Gpu_Power_W
1,36,477.3096124095297,6.315987557172775,21.847418,Train_Gpu_Power_W
1,37,466.96648395383437,6.32966086268425,21.609407,Train_Gpu_Power_W
